Cliente;Motorista;Data Emissão Pedido;Data Entrega Prevista;Destino;Itens;R$ Faturados;Saída para Entrega; Qtd Devolução;Mot. Devolução;Status - OTD;OCT Real;OCT Prometido;Lead Time Interno Total;LTI Conformidade;Transit Time / Last Mile;TT Conformidade;Lead Time Variance Completo / Desvio de SLA;OTIF;OTIF MOTIVOS E MOTORISTAS ENTREGA PERFEITA;OTIF Financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;22/09/2020;02/10/2020;BH;7;210;25/09/2020;1;Danificado;Atrasado;17;10;3;Processo dentro do prazo;14;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;VALDIR ESPINOSA;22/09/2020;02/10/2020;RJ;3;46,5;08/10/2020;2;Produto Errado;Atrasado;17;10;16;Excedeu Processo;1;Processo dentro do prazo;7 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;23/09/2020;03/10/2020;BH;20;656;25/09/2020;1;Danificado;Atrasado;19;10;2;Processo dentro do prazo;17;Excedeu Processo;9 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;23/09/2020;03/10/2020;SP;2;102;30/09/2020;0;S/ Devolu.;No Prazo;9;10;7;Excedeu Processo;2;Processo dentro do prazo;1 dia Entregue Antes do Prazo;Satisfeito;TÚLIO SILVEIRA;Satisfeito sem prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;23/09/2020;03/10/2020;RJ;17;805,8;25/09/2020;1;Produto Errado;No Prazo;5;10;2;Processo dentro do prazo;3;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;23/09/2020;03/10/2020;SP;9;453,6;05/10/2020;3;Danificado;Atrasado;18;10;12;Excedeu Processo;6;Excedeu Processo;8 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;23/09/2020;03/10/2020;SP;3;51;25/09/2020;0;S/ Devolu.;No Prazo;6;10;2;Processo dentro do prazo;4;Processo dentro do prazo;4 dias Entregue Antes do Prazo;Satisfeito;FELIPE SILVA;Satisfeito sem prejuízo financeiro
WALMART;FELIPE SILVA;23/09/2020;03/10/2020;BH;17;800,7;27/09/2020;1;Produto Errado;No Prazo;6;10;4;Processo dentro do prazo;2;Processo dentro do prazo;4 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;23/09/2020;03/10/2020;SP;11;341;02/10/2020;3;Danificado;Atrasado;12;10;9;Excedeu Processo;3;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;23/09/2020;03/10/2020;RJ;15;468;25/09/2020;1;Produto Errado;Atrasado;14;10;2;Processo dentro do prazo;12;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;23/09/2020;03/10/2020;BH;19;912;01/10/2020;9;Produto Errado;Atrasado;11;10;8;Excedeu Processo;3;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;23/09/2020;03/10/2020;BH;10;159;05/10/2020;3;Danificado;Atrasado;15;10;12;Excedeu Processo;3;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;23/09/2020;03/10/2020;SP;4;64;06/10/2020;1;Arrependimento;Atrasado;15;10;13;Excedeu Processo;2;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;23/09/2020;03/10/2020;BH;8;248;05/10/2020;0;S/ Devolu.;Atrasado;17;10;12;Excedeu Processo;5;Processo dentro do prazo;7 dias Entregue Atrasado;Insatisfeito;7 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;23/09/2020;03/10/2020;SP;4;66;06/10/2020;0;S/ Devolu.;Atrasado;16;10;13;Excedeu Processo;3;Processo dentro do prazo;6 dias Entregue Atrasado;Insatisfeito;6 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;23/09/2020;03/10/2020;BH;18;302,4;01/10/2020;1;Danificado;Atrasado;14;10;8;Excedeu Processo;6;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;23/09/2020;03/10/2020;SP;1;49,8;26/09/2020;1;Danificado;Atrasado;17;10;3;Processo dentro do prazo;14;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;23/09/2020;03/10/2020;SP;12;597,6;29/09/2020;1;Arrependimento;Atrasado;12;10;6;Excedeu Processo;6;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;23/09/2020;03/10/2020;SP;16;534,4;05/10/2020;3;Danificado;Atrasado;17;10;12;Excedeu Processo;5;Processo dentro do prazo;7 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;23/09/2020;03/10/2020;BH;18;869,4;29/09/2020;15;Produto Errado;No Prazo;10;10;6;Excedeu Processo;4;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;23/09/2020;03/10/2020;RJ;6;291,6;30/09/2020;2;Danificado;Atrasado;12;10;7;Excedeu Processo;5;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;23/09/2020;03/10/2020;RJ;3;93,6;27/09/2020;0;S/ Devolu.;Atrasado;12;10;4;Processo dentro do prazo;8;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
AMERICANAS;FELIPE SILVA;23/09/2020;03/10/2020;SP;6;97,8;28/09/2020;3;Danificado;No Prazo;7;10;5;Processo dentro do prazo;2;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;FELIPE SILVA;23/09/2020;03/10/2020;BH;4;68;02/10/2020;4;Danificado;No Prazo;10;10;9;Excedeu Processo;1;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;24/09/2020;04/10/2020;RJ;13;218,4;02/10/2020;1;Produto Errado;No Prazo;10;10;8;Excedeu Processo;2;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;24/09/2020;04/10/2020;BH;19;946,2;02/10/2020;15;Produto Errado;Atrasado;13;10;8;Excedeu Processo;5;Processo dentro do prazo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;24/09/2020;04/10/2020;BH;4;66;05/10/2020;3;Danificado;Atrasado;12;10;11;Excedeu Processo;1;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;24/09/2020;04/10/2020;SP;17;270,3;04/10/2020;2;Danificado;Atrasado;11;10;10;Excedeu Processo;1;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;24/09/2020;04/10/2020;BH;8;379,2;25/09/2020;1;Danificado;No Prazo;7;10;1;Processo dentro do prazo;6;Excedeu Processo;3 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;24/09/2020;04/10/2020;BH;3;139,5;28/09/2020;1;Danificado;Atrasado;12;10;4;Processo dentro do prazo;8;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;FELIPE SILVA;24/09/2020;04/10/2020;BH;19;969;29/09/2020;0;S/ Devolu.;Atrasado;14;10;5;Processo dentro do prazo;9;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;TÚLIO SILVEIRA;24/09/2020;04/10/2020;RJ;19;604,2;29/09/2020;2;Produto Errado;Atrasado;14;10;5;Processo dentro do prazo;9;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;24/09/2020;04/10/2020;RJ;14;442,4;25/09/2020;0;S/ Devolu.;No Prazo;5;10;1;Processo dentro do prazo;4;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Satisfeito;VALDIR ESPINOSA;Satisfeito sem prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;24/09/2020;04/10/2020;BH;9;153;25/09/2020;3;Danificado;No Prazo;10;10;1;Processo dentro do prazo;9;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;24/09/2020;04/10/2020;SP;20;656;25/09/2020;0;S/ Devolu.;Atrasado;11;10;1;Processo dentro do prazo;10;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;1 dia Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;24/09/2020;04/10/2020;BH;7;113,4;05/10/2020;2;Danificado;Atrasado;14;10;11;Excedeu Processo;3;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;24/09/2020;04/10/2020;RJ;8;393,6;01/10/2020;0;S/ Devolu.;Atrasado;12;10;7;Excedeu Processo;5;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;LUIZ PARDAL;24/09/2020;04/10/2020;RJ;10;468;25/09/2020;2;Produto Errado;No Prazo;8;10;1;Processo dentro do prazo;7;Excedeu Processo;2 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;24/09/2020;04/10/2020;RJ;3;47,7;26/09/2020;0;S/ Devolu.;Atrasado;15;10;2;Processo dentro do prazo;13;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
AMERICANAS;LUIZ PARDAL;24/09/2020;04/10/2020;BH;1;49,5;06/10/2020;0;S/ Devolu.;Atrasado;14;10;12;Excedeu Processo;2;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;MARCOS LEROY;24/09/2020;04/10/2020;SP;14;445,2;30/09/2020;3;Produto Errado;No Prazo;8;10;6;Excedeu Processo;2;Processo dentro do prazo;2 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;25/09/2020;05/10/2020;SP;3;45;03/10/2020;2;Danificado;No Prazo;10;10;8;Excedeu Processo;2;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;25/09/2020;05/10/2020;RJ;19;323;02/10/2020;0;S/ Devolu.;Atrasado;17;10;7;Excedeu Processo;10;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;7 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;FELIPE SILVA;25/09/2020;05/10/2020;SP;13;211,9;05/10/2020;0;S/ Devolu.;Atrasado;12;10;10;Excedeu Processo;2;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;TÚLIO SILVEIRA;25/09/2020;05/10/2020;BH;13;434,2;27/09/2020;2;Produto Errado;Atrasado;11;10;2;Processo dentro do prazo;9;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;25/09/2020;05/10/2020;RJ;17;861,9;05/10/2020;1;Produto Errado;Atrasado;11;10;10;Excedeu Processo;1;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;25/09/2020;05/10/2020;BH;8;384;26/09/2020;2;Arrependimento;No Prazo;4;10;1;Processo dentro do prazo;3;Processo dentro do prazo;6 dias Entregue Antes do Prazo;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;25/09/2020;05/10/2020;BH;8;267,2;02/10/2020;0;S/ Devolu.;No Prazo;9;10;7;Excedeu Processo;2;Processo dentro do prazo;1 dia Entregue Antes do Prazo;Satisfeito;LUIZ PARDAL;Satisfeito sem prejuízo financeiro
AMERICANAS;LUIZ PARDAL;25/09/2020;05/10/2020;BH;8;268,8;26/09/2020;2;Produto Errado;Atrasado;13;10;1;Processo dentro do prazo;12;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;25/09/2020;05/10/2020;SP;20;328;27/09/2020;1;Danificado;Atrasado;15;10;2;Processo dentro do prazo;13;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;25/09/2020;05/10/2020;RJ;1;48;29/09/2020;1;Danificado;No Prazo;10;10;4;Processo dentro do prazo;6;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;MARCOS LEROY;26/09/2020;06/10/2020;RJ;12;188,4;28/09/2020;3;Danificado;No Prazo;8;10;2;Processo dentro do prazo;6;Excedeu Processo;2 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;26/09/2020;06/10/2020;BH;20;672;08/10/2020;0;S/ Devolu.;Atrasado;14;10;12;Excedeu Processo;2;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;26/09/2020;06/10/2020;RJ;16;524,8;08/10/2020;4;Produto Errado;Atrasado;16;10;12;Excedeu Processo;4;Processo dentro do prazo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;JOÃO GOMES;26/09/2020;06/10/2020;BH;14;448;05/10/2020;2;Danificado;Atrasado;18;10;9;Excedeu Processo;9;Excedeu Processo;8 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;26/09/2020;06/10/2020;SP;10;507;30/09/2020;2;Danificado;Atrasado;11;10;4;Processo dentro do prazo;7;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;26/09/2020;06/10/2020;RJ;13;408,2;27/09/2020;0;S/ Devolu.;Atrasado;14;10;1;Processo dentro do prazo;13;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;26/09/2020;06/10/2020;SP;12;376,8;28/09/2020;0;S/ Devolu.;Atrasado;13;10;2;Processo dentro do prazo;11;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;3 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;LUIZ PARDAL;26/09/2020;06/10/2020;RJ;11;511,5;04/10/2020;0;S/ Devolu.;Atrasado;12;10;8;Excedeu Processo;4;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;LUIZ PARDAL;26/09/2020;06/10/2020;RJ;14;672;05/10/2020;0;S/ Devolu.;Atrasado;15;10;9;Excedeu Processo;6;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;LUIZ PARDAL;26/09/2020;06/10/2020;BH;8;264;27/09/2020;2;Produto Errado;Atrasado;15;10;1;Processo dentro do prazo;14;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;26/09/2020;06/10/2020;RJ;14;659,4;04/10/2020;1;Produto Errado;Atrasado;12;10;8;Excedeu Processo;4;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;JOÃO GOMES;26/09/2020;06/10/2020;BH;3;46,5;28/09/2020;1;Danificado;Atrasado;15;10;2;Processo dentro do prazo;13;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;26/09/2020;06/10/2020;SP;4;124,8;03/10/2020;0;S/ Devolu.;Atrasado;19;10;7;Excedeu Processo;12;Excedeu Processo;9 dias Entregue Atrasado;Insatisfeito;9 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;26/09/2020;06/10/2020;SP;1;46,5;02/10/2020;1;Arrependimento;Atrasado;11;10;6;Excedeu Processo;5;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;27/09/2020;07/10/2020;RJ;8;376,8;08/10/2020;1;Danificado;Atrasado;14;10;11;Excedeu Processo;3;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;27/09/2020;07/10/2020;RJ;12;180;01/10/2020;1;Danificado;Atrasado;11;10;4;Processo dentro do prazo;7;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;27/09/2020;07/10/2020;SP;3;153;29/09/2020;0;S/ Devolu.;No Prazo;10;10;2;Processo dentro do prazo;8;Excedeu Processo; No Prazo Exato (OnTime);Satisfeito;LUIZ PARDAL;Satisfeito sem prejuízo financeiro
WALMART;FELIPE SILVA;27/09/2020;07/10/2020;BH;13;202,8;30/09/2020;1;Danificado;Atrasado;15;10;3;Processo dentro do prazo;12;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;FELIPE SILVA;27/09/2020;07/10/2020;RJ;13;423,8;29/09/2020;1;Danificado;No Prazo;10;10;2;Processo dentro do prazo;8;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;27/09/2020;07/10/2020;BH;15;232,5;28/09/2020;7;Danificado;Atrasado;12;10;1;Processo dentro do prazo;11;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;MARCOS LEROY;27/09/2020;07/10/2020;RJ;2;94,8;05/10/2020;1;Produto Errado;Atrasado;15;10;8;Excedeu Processo;7;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;27/09/2020;07/10/2020;RJ;15;474;28/09/2020;2;Danificado;No Prazo;10;10;1;Processo dentro do prazo;9;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;27/09/2020;07/10/2020;BH;11;531,3;30/09/2020;1;Danificado;No Prazo;7;10;3;Processo dentro do prazo;4;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;27/09/2020;07/10/2020;SP;10;338;30/09/2020;2;Arrependimento;No Prazo;5;10;3;Processo dentro do prazo;2;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;27/09/2020;07/10/2020;SP;6;96,6;06/10/2020;3;Danificado;No Prazo;10;10;9;Excedeu Processo;1;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;27/09/2020;07/10/2020;BH;18;612;01/10/2020;3;Danificado;Atrasado;12;10;4;Processo dentro do prazo;8;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;27/09/2020;07/10/2020;BH;17;790,5;07/10/2020;11;Produto Errado;Atrasado;11;10;10;Excedeu Processo;1;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;27/09/2020;07/10/2020;SP;19;855;04/10/2020;3;Danificado;Atrasado;12;10;7;Excedeu Processo;5;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;27/09/2020;07/10/2020;SP;4;195,6;02/10/2020;0;S/ Devolu.;Atrasado;15;10;5;Processo dentro do prazo;10;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;28/09/2020;08/10/2020;SP;20;636;29/09/2020;0;S/ Devolu.;Atrasado;12;10;1;Processo dentro do prazo;11;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;28/09/2020;08/10/2020;SP;13;616,2;29/09/2020;1;Danificado;No Prazo;10;10;1;Processo dentro do prazo;9;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;28/09/2020;08/10/2020;SP;19;600,4;05/10/2020;1;Produto Errado;Atrasado;12;10;7;Excedeu Processo;5;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;28/09/2020;08/10/2020;BH;12;400,8;03/10/2020;1;Arrependimento;Atrasado;14;10;5;Processo dentro do prazo;9;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;28/09/2020;08/10/2020;BH;8;388,8;09/10/2020;0;S/ Devolu.;Atrasado;17;10;11;Excedeu Processo;6;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;7 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;TÚLIO SILVEIRA;28/09/2020;08/10/2020;BH;1;48,6;15/10/2020;0;S/ Devolu.;Atrasado;18;10;17;Excedeu Processo;1;Processo dentro do prazo;8 dias Entregue Atrasado;Insatisfeito;8 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;FELIPE SILVA;28/09/2020;08/10/2020;RJ;9;152,1;07/10/2020;3;Danificado;Atrasado;14;10;9;Excedeu Processo;5;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;FELIPE SILVA;28/09/2020;08/10/2020;SP;16;801,6;02/10/2020;4;Produto Errado;No Prazo;9;10;4;Processo dentro do prazo;5;Processo dentro do prazo;1 dia Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;28/09/2020;08/10/2020;SP;6;96,6;14/10/2020;0;S/ Devolu.;Atrasado;18;10;16;Excedeu Processo;2;Processo dentro do prazo;8 dias Entregue Atrasado;Insatisfeito;8 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;28/09/2020;08/10/2020;BH;2;31,2;04/10/2020;1;Produto Errado;Atrasado;15;10;6;Excedeu Processo;9;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;28/09/2020;08/10/2020;BH;2;96,6;01/10/2020;0;S/ Devolu.;No Prazo;10;10;3;Processo dentro do prazo;7;Excedeu Processo; No Prazo Exato (OnTime);Satisfeito;LUIZ PARDAL;Satisfeito sem prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;28/09/2020;08/10/2020;BH;2;98,4;03/10/2020;1;Produto Errado;Atrasado;11;10;5;Processo dentro do prazo;6;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;LUIZ PARDAL;28/09/2020;08/10/2020;SP;8;130,4;05/10/2020;0;S/ Devolu.;Atrasado;13;10;7;Excedeu Processo;6;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;3 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;28/09/2020;08/10/2020;RJ;1;16,6;08/10/2020;1;Danificado;Atrasado;15;10;10;Excedeu Processo;5;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;28/09/2020;08/10/2020;BH;6;195,6;01/10/2020;0;S/ Devolu.;Atrasado;14;10;3;Processo dentro do prazo;11;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;28/09/2020;08/10/2020;BH;5;162;02/10/2020;3;Danificado;Atrasado;12;10;4;Processo dentro do prazo;8;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;MARCOS LEROY;29/09/2020;09/10/2020;BH;5;168;08/10/2020;1;Produto Errado;Atrasado;12;10;9;Excedeu Processo;3;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
